page	raw	simplified	best_site	score
PAGE 1	V.R.16.400.32AAA-RODAVENTILADATECALGRESROSA400X32	V R 16 400 32AAA RODAVENTILADATECALGRESROSA400X32	Roda Ventilada Algodão Rosa 250x13	0.554
PAGE 1	V.R.16.500.32-RODAVENTILADATECALGRESROSADURO500X32	V R 16 500 32 RODAVENTILADATECALGRESROSADURO500X32	Roda Ventilada Algodão Rosa 250x13	0.571
PAGE 1	V.R7.16.250.13.AAA-RODAVENTILADATECROSAEXTDURA250X13	V R7 16 250 13 AAA RODAVENTILADATECROSAEXTDURA250X13	Roda Ventilada Algodão Rosa 250x13	0.535
PAGE 2	RODAPGMISTA115X20XM14GR240	RODAPGMISTA115X20XM14GR240	Roda PG Mista Berwanger 115x20xM14	0.7
PAGE 2	RODAPGMISTA115X20XM14GR320	RODAPGMISTA115X20XM14GR320	Roda PG Mista Berwanger 115x20xM14	0.7
PAGE 2	RODAPGMISTA115X20XM14GR80	RODAPGMISTA115X20XM14GR80	Roda PG Mista Berwanger 115x20xM14	0.712
PAGE 2	RODAPGMISTO-RODAPGLIXASCOTHBRITEGR18025X15OX45	RODAPGMISTO RODAPGLIXASCOTHBRITEGR18025X15OX45	PG Misto Scoth Brite 25x150	0.63
PAGE 2	RODAPGMISTO-RODAPGLIXASCOTHBRITEGR18050X15OX45	RODAPGMISTO RODAPGLIXASCOTHBRITEGR18050X15OX45	PG Misto Scoth Brite 50x150	0.63
PAGE 2	RODAPGMISTO-RODAPGLIXASCOTHBRITEGR8025X15OX45	RODAPGMISTO RODAPGLIXASCOTHBRITEGR8025X15OX45	PG Misto Scoth Brite 25x150	0.639
PAGE 2	RODAPGMISTO-RODAPGLIXASCOTHBRITEGR805OX150X45	RODAPGMISTO RODAPGLIXASCOTHBRITEGR805OX150X45	PG Misto Scoth Brite 25x150	0.639
PAGE 2	RODAPGRECICLADO	RODAPGRECICLADO	Roda Ventilada Flanela 250x13	0.409
PAGE 2	RODASCOTHBRITERECICLADO-RODASCOTHBRITEMACICO25X250	RODASCOTHBRITERECICLADO RODASCOTHBRITEMACICO25X250	PG Misto Scoth Brite 25x150	0.442
PAGE 2	RODASCOTHBRITERECICLADO-RODASCOTHBRITEMACICO5OX250	RODASCOTHBRITERECICLADO RODASCOTHBRITEMACICO5OX250	Roda Ventilada Flanela 250x13	0.405
PAGE 2	RODASISALRECICLADA	RODASISALRECICLADA	Roda Rosa Lisa Sisal/Algodão	0.522
PAGE 2	S.S.8.250.32.4-RODASTANDARDSISAL250X32IMP.4	S S 8 250 32 4 RODASTANDARDSISAL250X32IMP 4	Roda Standard Sisal 4 250x32	0.648
PAGE 2	S.S.8.300.32.1A-RODASTANDARDSISAL300X32IMP1A	S S 8 300 32 1A RODASTANDARDSISAL300X32IMP1A	Roda Standard Sisal 4 250x32	0.583
PAGE 2	S.S.8.300.32.4-RODASTANDARDSISAL300X32IMP4	S S 8 300 32 4 RODASTANDARDSISAL300X32IMP4	Roda Standard Sisal 4 250x32	0.6
PAGE 2	S.S.8.350.32.4-RODASTANDARDSISAL350X32IMP4	S S 8 350 32 4 RODASTANDARDSISAL350X32IMP4	Roda Standard Sisal 4 250x32	0.629
PAGE 2	S.S.8.500.32.4-RODASTANDARDSISAL500X32IMP4	S S 8 500 32 4 RODASTANDARDSISAL500X32IMP4	Roda Standard Sisal 4 250x32	0.629
PAGE 2	SB-SEBO(BARRA)	SB SEBO BARRA	Sebo - barra	0.87
PAGE 2	SB-SEBO(KILOCAIXAFECHADA)	SB SEBO KILO	Sebo - kilo	0.857
PAGE 2	TS.24.150.13.8-RODASISALCOMTEALG150X13IMP8	TS 24 150 13 8 RODASISALCOMTEALG150X13IMP8	Roda Lisa Sisal/Algodão 1A 150x13	0.48
PAGE 2	TS.24.150.13.8.2C-RODASISALCOMTECALG150X13IMP82C	TS 24 150 13 8 2C RODASISALCOMTECALG150X13IMP82C	Roda Lisa Sisal/Algodão 1A 150x13	0.444
PAGE 2	TS.48.150.13CRUA-RODASISALCOMTECALG150X13CRUA	TS 48 150 13CRUA RODASISALCOMTECALG150X13CRUA	Roda Lisa Sisal/Algodão 1A 150x13	0.462
PAGE 2	TS.48.150.13.1A-RODASISALCOMTECALG150X13IMP1A	TS 48 150 13 1A RODASISALCOMTECALG150X13IMP1A	Roda Lisa Sisal/Algodão 1A 150x13	0.462
PAGE 2	TS.48.150.13.2-RODASISALCOMTECALG150X13IMP2	TS 48 150 13 2 RODASISALCOMTECALG150X13IMP2	Roda Lisa Sisal/Algodão 1A 150x13	0.474
PAGE 2	TS.48.150.13.8-RODASISALCOMTECALG150X13IMP8	TS 48 150 13 8 RODASISALCOMTECALG150X13IMP8	Roda Lisa Sisal/Algodão 1A 150x13	0.474
PAGE 2	TS.48.150.32.2-RODASISALCOMTECALG150X321IMP2	TS 48 150 32 2 RODASISALCOMTECALG150X321IMP2	Roda Lisa Sisal/Algodão 1A 150x13	0.442
PAGE 2	TS.48.180.32.4-RODASISALCOMTECALG180X32IMP4	TS 48 180 32 4 RODASISALCOMTECALG180X32IMP4	Roda Lisa Sisal/Algodão 1A 150x13	0.421
PAGE 2	TS.48.200.13.1A-RODASISALCOMTEALG200X13IMP1A	TS 48 200 13 1A RODASISALCOMTEALG200X13IMP1A	Roda Tela Sisal/Algodão 1A 200x13	0.468
PAGE 2	TS.48.200.13.2-RODASISALCOMTECALG200X13IMP2	TS 48 200 13 2 RODASISALCOMTECALG200X13IMP2	Roda Tela Sisal/Algodão 1A 200x13	0.474
PAGE 2	TS.48.200.13.8-RODASISALTECALG200X13IMP.8	TS 48 200 13 8 RODASISALTECALG200X13IMP 8	Roda Tela Sisal/Algodão 1A 200x13	0.486
PAGE 2	TS.48.200.32.4-RODASISALCOMTEC200X32IMP4	TS 48 200 32 4 RODASISALCOMTEC200X32IMP4	Roda Standard Sisal 4 250x32	0.412
PAGE 2	TS.48.250.32.1A-RODASISALCOMTECALG250X32IMP1A	TS 48 250 32 1A RODASISALCOMTECALG250X32IMP1A	Roda Standard Sisal 4 250x32	0.411
PAGE 2	TS.48.250.32.2-RODASISALCOMTECALG250X32IMP2	TS 48 250 32 2 RODASISALCOMTECALG250X32IMP2	Roda Standard Sisal 4 250x32	0.423
PAGE 2	TS.48.250.32.3A-RODASISALCOMTECALG250X32IMP3A	TS 48 250 32 3A RODASISALCOMTECALG250X32IMP3A	Roda Standard Sisal 4 250x32	0.411
PAGE 2	TS.48.250.32.4-RODASISALCOMTECALG250X32IMP4	TS 48 250 32 4 RODASISALCOMTECALG250X32IMP4	Roda Standard Sisal 4 250x32	0.423
PAGE 2	TS.48.250.32.8-RODASISALCOMTECALG250X32IMP8	TS 48 250 32 8 RODASISALCOMTECALG250X32IMP8	Roda Standard Sisal 4 250x32	0.423
PAGE 2	TS.48.250.50.CH.2-RODASISALCOMTECALG250X50CHAVIMP2	TS 48 250 50 CH 2 RODASISALCOMTECALG250X50CHAVIMP2	Roda Lisa Sisal/Algodão 1A 150x13	0.361
PAGE 2	TS.48.250.51.CH.2-RODASISALCOMTECALG250X51CHAVIMP2	TS 48 250 51 CH 2 RODASISALCOMTECALG250X51CHAVIMP2	Roda Lisa Sisal/Algodão 1A 150x13	0.386
PAGE 2	TS.48.300.32.1A-RODASISALCOMTECALG300X21IMP1A	TS 48 300 32 1A RODASISALCOMTECALG300X21IMP1A	Roda Tela Sisal/Algodão 1A 200x13	0.41
PAGE 2	TS.48.300.32.2-RODASISALCOMTECALG300X32IMP2	TS 48 300 32 2 RODASISALCOMTECALG300X32IMP2	Roda Tela Sisal/Algodão 1A 200x13	0.421
PAGE 2	TS.48.300.32.4-RODASISALCOMTECALG300X32IMP4	TS 48 300 32 4 RODASISALCOMTECALG300X32IMP4	Roda Tela Sisal/Algodão 1A 200x13	0.421
PAGE 2	TS.48.350.32.2-RODASISALCOMTECALG350X32IMP2	TS 48 350 32 2 RODASISALCOMTECALG350X32IMP2	Roda Lisa Sisal/Algodão 1A 150x13	0.421
PAGE 3	RODAPGGR32040X250X85	RODAPGGR32040X250X85	Rodas PGS 30x150x25	0.615
PAGE 3	RODAPGGR32050X150X45	RODAPGGR32050X150X45	Rodas PGS 30x150x25	0.718
PAGE 3	RODAPGGR32050X250X85	RODAPGGR32050X250X85	Rodas PGS 30x150x25	0.667
PAGE 3	RODAPGGR32050X300X110	RODAPGGR32050X300X110	Rodas PGS 30x150x25	0.55
PAGE 3	RODAPGGR3650X150X45	RODAPGGR3650X150X45	Rodas PGS 30x150x25	0.737
PAGE 3	RODAPGGR3625X150X45	RODAPGGR3625X150X45	Rodas PGS 30x150x25	0.684
PAGE 3	RODAPGGR3650X250X85	RODAPGGR3650X250X85	Rodas PGS 30x150x25	0.632
PAGE 3	RODAPGGR3650X300X110	RODAPGGR3650X300X110	Rodas PGS 30x150x25	0.513
PAGE 3	RODAPGGR40025X150X45	RODAPGGR40025X150X45	Rodas PGS 30x150x25	0.667
PAGE 3	RODAPGGR40025X250X85	RODAPGGR40025X250X85	Rodas PGS 25x250x85 - qualquer grão	0.566
PAGE 3	RODAPGGR40040X250X85	RODAPGGR40040X250X85	Rodas PGS 30x150x25	0.564
PAGE 3	RODAPGGR40050X150X45	RODAPGGR40050X150X45	Rodas PGS 30x150x25	0.667
PAGE 3	RODAPGGR40050X250X85	RODAPGGR40050X250X85	Rodas PGS 30x150x25	0.615
