page	raw	simplified	best_site	score
PAGE 5	POLIAALGODAO-POLIAALGODAO25OX32	POLIAALGODAO POLIAALGODAO25OX32	Roda Plissada Algodão Rosa 300x32	0.531
PAGE 5	POLIAALGODAO-POLIAALGODAO30OX25	POLIAALGODAO POLIAALGODAO30OX25	Roda Plissada Algodão Rosa 300x32	0.562
PAGE 5	POLIAALGODAO-POLIAALGODAO30OX32	POLIAALGODAO POLIAALGODAO30OX32	Roda Plissada Algodão Rosa 300x32	0.594
PAGE 5	POLIADEBRIM110X13	POLIADEBRIM110X13	Roda Brim 150x13	0.667
PAGE 5	POLIADEBRIM150X13	POLIADEBRIM150X13	Roda Brim 150x13	0.727
PAGE 5	POLIADEBRIM200X13	POLIADEBRIM200X13	Roda Brim 150x13	0.606
PAGE 5	POLIADEBRIM250X13	POLIADEBRIM250X13	Roda Brim 150x13	0.667
PAGE 5	POLIADEBRIM250X32	POLIADEBRIM250X32	Escova de Fibra 250x32	0.615
PAGE 5	POLIADEBRIM300X32	POLIADEBRIM300X32	Escova de Fibra 350x32	0.564
PAGE 5	RODAPG115X20XM14GR120	RODAPG115X20XM14GR120	Roda PG Mista Berwanger 115x20xM14	0.582
PAGE 5	RODAPG115X20XM14GR150	RODAPG115X20XM14GR150	Roda PG Mista Berwanger 115x20xM14	0.582
PAGE 5	RODAPG115X20XM14GR240	RODAPG115X20XM14GR240	Roda PG Mista Berwanger 115x20xM14	0.582
PAGE 5	RODAPG115X20XM14GR320	RODAPG115X20XM14GR320	Rodas PGS 25x150x45 - grãos 36 a 280	0.582
PAGE 5	RODAPG115X20XM14GR60	RODAPG115X20XM14GR60	Roda PG Mista Berwanger 115x20xM14	0.593
PAGE 5	RODAPG115X20XM14GR80	RODAPG115X20XM14GR80	Roda PG Mista Berwanger 115x20xM14	0.593
PAGE 5	RODAPGG36AOG60025X300X110	RODAPGG36AOG60025X300X110	Rodas PGS 30x150x25	0.5
PAGE 6	LIXAVERMELHA-CINTADELIXALS309XG22075X2300	LIXAVERMELHA CINTADELIXALS309XG22075X2300	Lixa CS922Y 50x1200	0.5
PAGE 6	LIXAVERMELHA-CINTADELIXALS309XHG10075X2300	LIXAVERMELHA CINTADELIXALS309XHG10075X2300	Lixa Amarela LS312JF 50x1200	0.486
PAGE 6	LIXAVERMELHA-CINTADELIXALS309XHG15075X2300	LIXAVERMELHA CINTADELIXALS309XHG15075X2300	Lixa Amarela LS312JF 50x1200	0.543
PAGE 6	LIXAVERMELHA-CINTADELIXALS309XHG8075X2300	LIXAVERMELHA CINTADELIXALS309XHG8075X2300	Lixa Amarela LS312JF 50x1200	0.493
PAGE 6	LS.23.200.13.2.0,5-RODALISASISALCOMTEC200X13IMP2	LS 23 200 13 2 0 5 RODALISASISALCOMTEC200X13IMP2	Roda Lisa Sisal/Algodão 1A 150x13	0.444
PAGE 6	LS.23.200.13.6.0,5-RODALISASISALCOMTEC200X13IMP6	LS 23 200 13 6 0 5 RODALISASISALCOMTEC200X13IMP6	Roda Lisa Sisal/Algodão 1A 150x13	0.444
PAGE 6	LS.23.200.13.8.0,5-RODALISASISALCOMTECALG200X13IMP	LS 23 200 13 8 0 5 RODALISASISALCOMTECALG200X13IMP	Roda Lisa Sisal/Algodão 1A 150x13	0.482
PAGE 6	LS.78.200.13.4-RODALISASISALCOMTECALG200X13IMP4	LS 78 200 13 4 RODALISASISALCOMTECALG200X13IMP4	Roda Lisa Sisal/Algodão 1A 150x13	0.5
PAGE 6	LS.89.110.13.4-RODALISASISALCOMTECALG110X13IMP4	LS 89 110 13 4 RODALISASISALCOMTECALG110X13IMP4	Roda Lisa Sisal/Algodão 1A 150x13	0.55
PAGE 6	LS.89.150.13.1A-RODALISASISALCOMTECALG150X13IMP1	LS 89 150 13 1A RODALISASISALCOMTECALG150X13IMP1	Roda Lisa Sisal/Algodão 1A 150x13	0.543
PAGE 6	LS.89.150.13.4-RODALISASISALCOMTECALG150X13IMP.4	LS 89 150 13 4 RODALISASISALCOMTECALG150X13IMP 4	Roda Lisa Sisal/Algodão 1A 150x13	0.543
PAGE 6	LS.89.200.13.1A-RODALISASISALCOMTECALG200X13IMP.1A	LS 89 200 13 1A RODALISASISALCOMTECALG200X13IMP 1A	Roda Lisa Sisal/Algodão 1A 150x13	0.482
PAGE 6	LUVAPANO	LUVAPANO	Luva de Pano	0.8
PAGE 6	LUVARASPALONGAP.20	LUVARASPALONGAP 20	Luva de Raspa Longa	0.757
PAGE 6	LUVARASPAP7	LUVARASPAP7	Luva Raspa Curta	0.667
PAGE 6	LUVAVAQUETAMISTAP7	LUVAVAQUETAMISTAP7	Luva Vaqueta Mista	0.889
PAGE 6	LUVAVAQUETAP7	LUVAVAQUETAP7	Luva Vaqueta Mista	0.71
PAGE 6	MANGOTECOMFIVELA	MANGOTECOMFIVELA	Mangote de Raspa	0.562
PAGE 6	MANTAABRASIVA125X24OMMMARROMFINA	MANTAABRASIVA125X24OMMMARROMFINA	Massa Marrom	0.409
PAGE 6	MANTAABRASIVA125X24OMMMARRONMEDIA	MANTAABRASIVA125X24OMMMARRONMEDIA	Massa Marrom	0.4
PAGE 6	MASSAOLGAO2-MASSASOLIDALUSTROMAX(BARRA)	MASSAOLGAO2 MASSASOLIDALUSTROMAX BARRA	Massa Marrom	0.44
PAGE 6	MASSAOLGAO2-MASSASOLIDALUSTROMAX(KILOCAIXAFECHADA)	MASSAOLGAO2 MASSASOLIDALUSTROMAX KILO	Massa Olga 02 - kilo	0.545
PAGE 6	MASSAOLGA04-MASSASOLIDALUSTROMAX(BARRA)	MASSAOLGA04 MASSASOLIDALUSTROMAX BARRA	Massa Marrom	0.44
PAGE 6	MASSAOLGA04-MASSASOLIDALUSTROMAX(KILOCAIXAFECHADA)	MASSAOLGA04 MASSASOLIDALUSTROMAX KILO	Massa Olga 02 - kilo	0.545
PAGE 6	MS.AZ.P1.G4-MASSASOLIDAAZUL(BARRA)	MS AZ P1 G4 MASSASOLIDAAZUL BARRA	Massa Azul	0.419
PAGE 6	MS.AZ.P1.G4-MASSASOLIDAAZUL(KILOCAIXAFECHADA)	MS AZ P1 G4 MASSASOLIDAAZUL KILO	Massa Olga 02 - kilo	0.52
PAGE 6	MS.B.P6.G12-MASSASOLIDABRANCA(BARRA)	MS B P6 G12 MASSASOLIDABRANCA BARRA	Massa Branca	0.468
PAGE 6	MS.B.P6.G12-MASSASOLIDABRANCA(KILOCAIXAFECHADA)	MS B P6 G12 MASSASOLIDABRANCA KILO	Massa Olga 02 - kilo	0.5
PAGE 6	MS.CZ.AAA-MASSASOLIDACINZA(BARRA)	MS CZ AAA MASSASOLIDACINZA BARRA	Massa Branca	0.409
PAGE 6	MS.LL.P1O-MASSASOLIDALILAS(KILOCAIXAFECHADA)(MADEIRA)	MS LL P1O MASSASOLIDALILAS KILO MADEIRA	Massa Olga 02 - kilo	0.456
PAGE 6	MS.LL.P1O-MASSASOLIDALILASEMBARRA(BARRA)(MADEIRA)	MS LL P1O MASSASOLIDALILASEMBARRA BARRA MADEIRA	Massa Marrom	0.339
PAGE 6	MS.LL.P5.BRE-MASSASOLIDALILAS(BARRA）(INOX)	MS LL P5 BRE MASSASOLIDALILAS BARRA INOX	Massa Branca	0.385
PAGE 6	MS.LL.P5.BRE-MASSASOLIDALILAS(KILOCAIXAFECHADA)(INOX)	MS LL P5 BRE MASSASOLIDALILAS KILO INOX	Massa Olga 02 - kilo	0.456
PAGE 6	MS.M.P4-MASSASOLIDAMARROM	MS M P4 MASSASOLIDAMARROM	Massa Marrom	0.595
PAGE 6	MS.R.P1.G6-MASSASOLIDAROSA(BARRA)	MS R P1 G6 MASSASOLIDAROSA BARRA	Massa Rosa	0.429
PAGE 6	MS.R.P1.G6-MASSASOLIDAROSA(KILOCAIXAFECHADA)	MS R P1 G6 MASSASOLIDAROSA KILO	Massa Olga 02 - kilo	0.531
PAGE 6	P.A1.16.250.13.4X4-RODAPLISSADATECALGAMARELA250X13	P A1 16 250 13 4X4 RODAPLISSADATECALGAMARELA250X13	Roda Ventilada Algodão Amarela 200x13	0.529
PAGE 6	P.A1.16.250.32.4X4-RODAPLISSADATECALGAMARELO250X32	P A1 16 250 32 4X4 RODAPLISSADATECALGAMARELO250X32	Roda Plissada Algodão Rosa 300x32	0.506
PAGE 6	P.A1.16.300.32.4X4-RODAPLISSADATECALGRESAMARELO300X3	P A1 16 300 32 4X4 RODAPLISSADATECALGRESAMARELO300X3	Roda Plissada Algodão Rosa 300x32	0.541
PAGE 6	P.A1.16.300.45.4X4-RODAPLISSADATECALGRESAMARELO300X4	P A1 16 300 45 4X4 RODAPLISSADATECALGRESAMARELO300X4	Roda Plissada Algodão Rosa 300x32	0.518
PAGE 6	P.A1.16.300.51.CH.4X4-RODAPLISSADATECAMARELO300X51CHA	P A1 16 300 51 CH 4X4 RODAPLISSADATECAMARELO300X51CHA	Roda Plissada Algodão Rosa 300x32	0.465
PAGE 7	LIXAMARRON-CINTADELIXAKA169G15050X2000	LIXAMARRON CINTADELIXAKA169G15050X2000	Lixa Marrom Deerfos KA169 50x2000	0.676
PAGE 7	LIXAMARRON-CINTADELIXAKA169G15050X2700	LIXAMARRON CINTADELIXAKA169G15050X2700	Lixa Marrom Deerfos KA169 50x2000	0.648
PAGE 7	LIXAMARRON-CINTADELIXAKA169G15070X2300	LIXAMARRON CINTADELIXAKA169G15070X2300	Lixa Marrom Deerfos KA169 50x2000	0.648
PAGE 7	LIXAMARRON-CINTADELIXAKA169G22050X2000	LIXAMARRON CINTADELIXAKA169G22050X2000	Lixa Marrom Deerfos KA169 50x2000	0.676
PAGE 7	LIXAMARRON-CINTADELIXAKA169G22050X2700	LIXAMARRON CINTADELIXAKA169G22050X2700	Lixa Marrom Deerfos KA169 50x2000	0.648
PAGE 7	LIXAMARRON-CINTADELIXAKA169G22070X2300	LIXAMARRON CINTADELIXAKA169G22070X2300	Lixa Marrom Deerfos KA169 50x2000	0.62
PAGE 7	LIXAMARRON-CINTADELIXAKA169G32050X2000	LIXAMARRON CINTADELIXAKA169G32050X2000	Lixa Marrom Deerfos KA169 50x2000	0.676
PAGE 7	LIXAMARRON-CINTADELIXAKA169G32050X2700	LIXAMARRON CINTADELIXAKA169G32050X2700	Lixa Marrom Deerfos KA169 50x2000	0.648
PAGE 7	LIXAMARRON-CINTADELIXAKA169G32070X2300	LIXAMARRON CINTADELIXAKA169G32070X2300	Lixa Marrom Deerfos KA169 50x2000	0.62
PAGE 7	LIXAMARRON-CINTADELIXAKA169G3650X2000	LIXAMARRON CINTADELIXAKA169G3650X2000	Lixa Marrom Deerfos KA169 50x2000	0.686
PAGE 7	LIXAMARRON-CINTADELIXAKA169G3650X2700	LIXAMARRON CINTADELIXAKA169G3650X2700	Lixa Marrom Deerfos KA169 50x2000	0.657
PAGE 7	LIXAMARRON-CINTADELIXAKA169G40050X2000	LIXAMARRON CINTADELIXAKA169G40050X2000	Lixa Marrom Deerfos KA169 50x2000	0.676
PAGE 7	LIXAMARRON-CINTADELIXAKA169G40050X2700	LIXAMARRON CINTADELIXAKA169G40050X2700	Lixa Marrom Deerfos KA169 50x2000	0.648
PAGE 7	LIXAMARRON-CINTADELIXAKA169G40070X2300	LIXAMARRON CINTADELIXAKA169G40070X2300	Lixa Marrom Deerfos KA169 50x2000	0.62
PAGE 7	LIXAMARRON-CINTADELIXAKA169G6050X2000	LIXAMARRON CINTADELIXAKA169G6050X2000	Lixa Marrom Deerfos KA169 50x2000	0.686
PAGE 7	LIXAMARRON-CINTADELIXAKA169G6050X2700	LIXAMARRON CINTADELIXAKA169G6050X2700	Lixa Marrom Deerfos KA169 50x2000	0.657
PAGE 7	LIXAMARRON-CINTADELIXAKA169G60050X2000	LIXAMARRON CINTADELIXAKA169G60050X2000	Lixa Marrom Deerfos KA169 50x2000	0.676
PAGE 7	LIXAMARRON-CINTADELIXAKA169G60050X2700	LIXAMARRON CINTADELIXAKA169G60050X2700	Lixa Marrom Deerfos KA169 50x2000	0.648
PAGE 7	LIXAMARRON-CINTADELIXAKA169G8050X2000	LIXAMARRON CINTADELIXAKA169G8050X2000	Lixa Marrom Deerfos KA169 50x2000	0.686
PAGE 7	LIXAMARRON-CINTADELIXAKA169G8050X2700	LIXAMARRON CINTADELIXAKA169G8050X2700	Lixa Marrom Deerfos KA169 50x2000	0.657
PAGE 7	LIXAMARRON-CINTADELIXAKA169G8070X2300	LIXAMARRON CINTADELIXAKA169G8070X2300	Lixa Marrom Deerfos KA169 50x2000	0.629
PAGE 7	LIXARECICLADA100X3000	LIXARECICLADA100X3000	Lixa Bora 7 LS990S 50x2000	0.511
PAGE 7	LIXARECICLADA50X1200	LIXARECICLADA50X1200	Lixa Amarela LS312JF 50x1200	0.625
PAGE 7	LIXARECICLADA50X2000	LIXARECICLADA50X2000	Lixa Amarela LS312JF 50x1200	0.583
PAGE 7	LIXARECICLADA50X2700	LIXARECICLADA50X2700	Lixa Amarela LS312JF 50x1200	0.583
PAGE 7	LIXAVERDE-CINTADELIXAG12050X1200	LIXAVERDE CINTADELIXAG12050X1200	Lixa Amarela LS312JF 50x1200	0.567
PAGE 7	LIXAVERDE-CINTADELIXAG12050X2000	LIXAVERDE CINTADELIXAG12050X2000	Lixa Bora 7 LS990S 50x2000	0.517
PAGE 7	LIXAVERMELHA-CINTADELIXACS310XG22050X2000	LIXAVERMELHA CINTADELIXACS310XG22050X2000	Lixa Amarela LS312JF 50x1200	0.58
PAGE 7	LIXAVERMELHA-CINTADELIXACS310XG40050X2000	LIXAVERMELHA CINTADELIXACS310XG40050X2000	Lixa Amarela LS312JF 50x1200	0.551
PAGE 7	LIXAVERMELHA-CINTADELIXACS310XG40075X2300	LIXAVERMELHA CINTADELIXACS310XG40075X2300	Lixa Amarela LS312JF 50x1200	0.493
PAGE 7	LIXAVERMELHA-CINTADELIXACS922YG10050X2000	LIXAVERMELHA CINTADELIXACS922YG10050X2000	Lixa CS922Y 50x1200	0.567
PAGE 7	LIXAVERMELHA-CINTADELIXACS922YG12050X1200	LIXAVERMELHA CINTADELIXACS922YG12050X1200	Lixa CS922Y 50x1200	0.6
PAGE 7	LIXAVERMELHA-CINTADELIXACS922YG12050X1500	LIXAVERMELHA CINTADELIXACS922YG12050X1500	Lixa CS922Y 50x1200	0.567
PAGE 7	LIXAVERMELHA-CINTADELIXACS922YG12050X2000	LIXAVERMELHA CINTADELIXACS922YG12050X2000	Lixa Bora 7 LS990S 50x2000	0.537
PAGE 7	LIXAVERMELHA-CINTADELIXACS922YG15050X2000	LIXAVERMELHA CINTADELIXACS922YG15050X2000	Lixa CS922Y 50x1200	0.567
PAGE 7	LIXAVERMELHA-CINTADELIXACS922YG18050X2000	LIXAVERMELHA CINTADELIXACS922YG18050X2000	Lixa CS922Y 50x1200	0.567
PAGE 7	LIXAVERMELHA-CINTADELIXACS922YG3650X2000	LIXAVERMELHA CINTADELIXACS922YG3650X2000	Lixa CS922Y 50x1200	0.576
PAGE 7	LIXAVERMELHA-CINTADELIXACS922YG5050X2000	LIXAVERMELHA CINTADELIXACS922YG5050X2000	Lixa CS922Y 50x1200	0.576
PAGE 7	LIXAVERMELHA-CINTADELIXACS922YG6050X2000	LIXAVERMELHA CINTADELIXACS922YG6050X2000	Lixa CS922Y 50x1200	0.576
PAGE 7	LIXAVERMELHA-CINTADELIXACS922YG8050X1200	LIXAVERMELHA CINTADELIXACS922YG8050X1200	Lixa CS922Y 50x1200	0.61
PAGE 7	LIXAVERMELHA-CINTADELIXACS922YG8050X2000	LIXAVERMELHA CINTADELIXACS922YG8050X2000	Lixa CS922Y 50x1200	0.576
PAGE 8	LIXAAMARELA-CINTADELIXALS312JFG15050X2700	LIXAAMARELA CINTADELIXALS312JFG15050X2700	Lixa Amarela LS312JF 50x1200	0.725
PAGE 8	LIXAAMARELA-CINTADELIXALS312JFG15075X2300	LIXAAMARELA CINTADELIXALS312JFG15075X2300	Lixa Amarela LS312JF 50x1200	0.725
PAGE 8	LIXAAMARELA-CINTADELIXALS312JFG18050X2000	LIXAAMARELA CINTADELIXALS312JFG18050X2000	Lixa Amarela LS312JF 50x1200	0.725
PAGE 8	LIXAAMARELA-CINTADELIXALS312JFG22050X1200	LIXAAMARELA CINTADELIXALS312JFG22050X1200	Lixa Amarela LS312JF 50x1200	0.754
PAGE 8	LIXAAMARELA-CINTADELIXALS312JFG22050X1400	LIXAAMARELA CINTADELIXALS312JFG22050X1400	Lixa Amarela LS312JF 50x1200	0.725
PAGE 8	LIXAAMARELA-CINTADELIXALS312JFG22050X2000	LIXAAMARELA CINTADELIXALS312JFG22050X2000	Lixa Amarela LS312JF 50x1200	0.725
PAGE 8	LIXAAMARELA-CINTADELIXALS312JFG22075X2300	LIXAAMARELA CINTADELIXALS312JFG22075X2300	Lixa Amarela LS312JF 50x1200	0.638
PAGE 8	LIXAAMARELA-CINTADELIXALS312JFG32050X1400	LIXAAMARELA CINTADELIXALS312JFG32050X1400	Lixa Amarela LS312JF 50x1200	0.725
PAGE 8	LIXAAMARELA-CINTADELIXALS312JFG32050X2000	LIXAAMARELA CINTADELIXALS312JFG32050X2000	Lixa Amarela LS312JF 50x1200	0.725
PAGE 8	LIXAAMARELA-CINTADELIXALS312JFG32075X2300	LIXAAMARELA CINTADELIXALS312JFG32075X2300	Lixa Amarela LS312JF 50x1200	0.638
PAGE 8	LIXAAMARELA-CINTADELIXALS312JFG40050X1400	LIXAAMARELA CINTADELIXALS312JFG40050X1400	Lixa Amarela LS312JF 50x1200	0.725
PAGE 8	LIXAAMARELA-CINTADELIXALS312JFG40050X2000	LIXAAMARELA CINTADELIXALS312JFG40050X2000	Lixa Amarela LS312JF 50x1200	0.725
PAGE 8	LIXAAMARELA-CINTADELIXALS312JFG40075X2300	LIXAAMARELA CINTADELIXALS312JFG40075X2300	Lixa Amarela LS312JF 50x1200	0.609
PAGE 8	LIXAAMARELA-CINTADELIXALS312JFG6050X2000	LIXAAMARELA CINTADELIXALS312JFG6050X2000	Lixa Amarela LS312JF 50x1200	0.735
PAGE 8	LIXAAMARELA-CINTADELIXALS312JFG8050X2000	LIXAAMARELA CINTADELIXALS312JFG8050X2000	Lixa Amarela LS312JF 50x1200	0.735
PAGE 8	LIXAAMARELA-CINTADELIXALS312JFG8075X2300	LIXAAMARELA CINTADELIXALS312JFG8075X2300	Lixa Amarela LS312JF 50x1200	0.706
PAGE 8	LIXAAZUL-CINTADELIXAJS997G22050X2700	LIXAAZUL CINTADELIXAJS997G22050X2700	Lixa CS922Y 50x1200	0.582
PAGE 8	LIXAAZUL-CINTADELIXAJS997G6050X2000	LIXAAZUL CINTADELIXAJS997G6050X2000	Lixa Bora 7 LS990S 50x2000	0.557
PAGE 8	LIXAAZUL-CINTADELIXAXZ677G2450X2000	LIXAAZUL CINTADELIXAXZ677G2450X2000	Cinta Zircônia Deerfos XZ677 50x2000	0.535
PAGE 8	LIXAAZUL-CINTADELIXAXZ677G3650X1200	LIXAAZUL CINTADELIXAXZ677G3650X1200	Lixa Amarela LS312JF 50x1200	0.54
PAGE 8	LIXAAZUL-CINTADELIXAXZ677G3650X2000	LIXAAZUL CINTADELIXAXZ677G3650X2000	Cinta Zircônia Deerfos XZ677 50x2000	0.535
PAGE 8	LIXABORA7-CINTADELIXAPS990SG3650X1000	LIXABORA7 CINTADELIXAPS990SG3650X1000	Lixa Bora 7 LS990S 50x1000	0.73
PAGE 8	LIXABORA7-CINTADELIXAPS990SG3650X1200	LIXABORA7 CINTADELIXAPS990SG3650X1200	Lixa Bora 7 LS990S 50x1000	0.698
PAGE 8	LIXABORA7-CINTADELIXAPS990SG3650X1500	LIXABORA7 CINTADELIXAPS990SG3650X1500	Lixa Bora 7 LS990S 50x1500	0.73
PAGE 8	LIXABORA7-CINTADELIXAPS990SG3650X2000	LIXABORA7 CINTADELIXAPS990SG3650X2000	Lixa Bora 7 LS990S 50x2000	0.73
PAGE 8	LIXABORA7-CINTADELIXAPS990SG3650X2700	LIXABORA7 CINTADELIXAPS990SG3650X2700	Lixa Bora 7 LS990S 50x2000	0.698
PAGE 8	LIXABORA7-CINTADELIXAPS990SG3650X3000	LIXABORA7 CINTADELIXAPS990SG3650X3000	Lixa Bora 7 LS990S 50x1000	0.698
PAGE 8	LIXABORA7-CINTADELIXAPS990SG5050X1000	LIXABORA7 CINTADELIXAPS990SG5050X1000	Lixa Bora 7 LS990S 50x1000	0.73
PAGE 8	LIXABORA7-CINTADELIXAPS990SG5050X1200	LIXABORA7 CINTADELIXAPS990SG5050X1200	Lixa Bora 7 LS990S 50x1000	0.698
PAGE 8	LIXABORA7-CINTADELIXAPS990SG5050X1500	LIXABORA7 CINTADELIXAPS990SG5050X1500	Lixa Bora 7 LS990S 50x1500	0.73
PAGE 8	LIXABORA7-CINTADELIXAPS990SG5050X2000	LIXABORA7 CINTADELIXAPS990SG5050X2000	Lixa Bora 7 LS990S 50x2000	0.73
PAGE 8	LIXABORA7-CINTADELIXAPS990SG6060X1860	LIXABORA7 CINTADELIXAPS990SG6060X1860	Lixa Bora 7 LS990S 50x1000	0.635
PAGE 8	LIXABORA7-CINTADELIXAPS990SG8060X1860	LIXABORA7 CINTADELIXAPS990SG8060X1860	Lixa Bora 7 LS990S 50x1000	0.635
PAGE 8	LIXAMARROM-CINTADELIXAKA169G60150X6000	LIXAMARROM CINTADELIXAKA169G60150X6000	Lixa Marrom Deerfos KA169 50x2000	0.676
PAGE 8	LIXAMARRON-CINTADELIXAKA169G10050X2000	LIXAMARRON CINTADELIXAKA169G10050X2000	Lixa Marrom Deerfos KA169 50x2000	0.676
PAGE 8	LIXAMARRON-CINTADELIXAKA169G10050X2700	LIXAMARRON CINTADELIXAKA169G10050X2700	Lixa Marrom Deerfos KA169 50x2000	0.648
PAGE 8	LIXAMARRON-CINTADELIXAKA169G10050X3000	LIXAMARRON CINTADELIXAKA169G10050X3000	Lixa Marrom Deerfos KA169 50x2000	0.648
PAGE 8	LIXAMARRON-CINTADELIXAKA169G10070X2300	LIXAMARRON CINTADELIXAKA169G10070X2300	Lixa Marrom Deerfos KA169 50x2000	0.62
PAGE 8	LIXAMARRON-CINTADELIXAKA169G12050X2000	LIXAMARRON CINTADELIXAKA169G12050X2000	Lixa Marrom Deerfos KA169 50x2000	0.676
PAGE 8	LIXAMARRON-CINTADELIXAKA169G12050X2700	LIXAMARRON CINTADELIXAKA169G12050X2700	Lixa Marrom Deerfos KA169 50x2000	0.648
PAGE 8	LIXAMARRON-CINTADELIXAKA169G12070X2300	LIXAMARRON CINTADELIXAKA169G12070X2300	Lixa Marrom Deerfos KA169 50x2000	0.62
PAGE 9	L.A1.40.150.13-RODALISATECALGRESAMARELO150X13	L A1 40 150 13 RODALISATECALGRESAMARELO150X13	Roda Lisa Sisal/Algodão 1A 150x13	0.487
PAGE 9	L.A1.40.200.13-RODALISATECALGRESAMARELO200X13	L A1 40 200 13 RODALISATECALGRESAMARELO200X13	Roda Ventilada Algodão Amarela 200x13	0.512
PAGE 9	L.AZ3.40.200.13-RODALISATECALGRESAZUL200X13	L AZ3 40 200 13 RODALISATECALGRESAZUL200X13	Roda Tela Sisal/Algodão 1A 200x13	0.474
PAGE 9	L.C1.50.250.324C-RODALISATECALGCRU250X324COSTURA	L C1 50 250 324C RODALISATECALGCRU250X324COSTURA	Roda Plissada Algodão Rosa 300x32	0.395
PAGE 9	LAMINADEINOX	LAMINADEINOX	Luva de Pano	0.5
PAGE 9	LI.KA169GR400.50.444-CINTADELIXAKA169GR40050X444	LI KA169GR400 50 444 CINTADELIXAKA169GR40050X444	Cinta de Lixa KA169 50x444	0.405
PAGE 9	LI.KA169.GR100.50.444-CINTADELIXAKA169GR10050X444	LI KA169 50 444 CINTADELIXAKA169GR10050X444	Cinta de Lixa KA169 50x444	0.435
PAGE 9	LI.KA169.GR120.50.444-CINTADELIXAKA169GR12050X444	LI KA169 50 444 CINTADELIXAKA169GR12050X444	Cinta de Lixa KA169 50x444	0.435
PAGE 9	LI.KA169.GR150.50.444-CINTADELIXAKA169GR15050X444	LI KA169 50 444 CINTADELIXAKA169GR15050X444	Cinta de Lixa KA169 50x444	0.435
PAGE 9	LI.KA169.GR220.50.444-CINTADELIXAKA169GR22050X444	LI KA169 50 444 CINTADELIXAKA169GR22050X444	Cinta de Lixa KA169 50x444	0.435
PAGE 9	LI.KA169.GR320.50.444-CINTADELIXAKA169GR32050X444	LI KA169 50 444 CINTADELIXAKA169GR32050X444	Cinta de Lixa KA169 50x444	0.435
PAGE 9	LI.KA169.GR50.50.444-CINTADELIXAKA169GR5050X444	LI KA169 50 444 CINTADELIXAKA169GR5050X444	Cinta de Lixa KA169 50x444	0.441
PAGE 9	LI.KA169.GR600.50.444-CINTADELIXAKA169GR60050X444	LI KA169 50 444 CINTADELIXAKA169GR60050X444	Cinta de Lixa KA169 50x444	0.435
PAGE 9	LI.KA169.GR80.50.444-CINTADELIXAKA169GR8050X444	LI KA169 50 444 CINTADELIXAKA169GR8050X444	Cinta de Lixa KA169 50x444	0.441
PAGE 9	LI.PZ528.G36.50.2000-CINTALIXAPZ528GR3650X2000	LI PZ528 G36 50 2000 CINTALIXAPZ528GR3650X2000	Cinta Zircônia Deerfos XZ677 50x2000	0.39
PAGE 9	LI.XA167.G150.50.2000-CINTALIXAXA167GR15050X2000	LI XA167 G150 50 2000 CINTALIXAXA167GR15050X2000	Cinta de Lixa KA169 50x444	0.405
PAGE 9	LI.XZ677.G24.300-DISCOLIXAREDDEERFOSXZ677GR24	LI XZ677 G24 300 DISCOLIXAREDDEERFOSXZ677GR24	Disco de Lixa Red Deerfos 300	0.514
PAGE 9	LI.XZ677.G36.300-DISCOLIXAREDDEERFOS.XZ677GR36	LI XZ677 G36 300 DISCOLIXAREDDEERFOS XZ677GR36	Disco de Lixa Red Deerfos 300	0.56
PAGE 9	LIXA50X1200GR100	LIXA50X1200GR100	Lixa CS922Y 50x1200	0.629
PAGE 9	LIXA50X1200GR120	LIXA50X1200GR120	Lixa CS922Y 50x1200	0.629
PAGE 9	LIXA50X1200GR150	LIXA50X1200GR150	Lixa CS922Y 50x1200	0.629
PAGE 9	LIXA50X1200GR220	LIXA50X1200GR220	Lixa CS922Y 50x1200	0.629
PAGE 9	LIXA50X1200GR320	LIXA50X1200GR320	Lixa CS922Y 50x1200	0.629
PAGE 9	LIXA50X1200GR36	LIXA50X1200GR36	Lixa CS922Y 50x1200	0.647
PAGE 9	LIXA50X1200GR400	LIXA50X1200GR400	Lixa CS922Y 50x1200	0.629
PAGE 9	LIXA50X1200GR50	LIXA50X1200GR50	Lixa CS922Y 50x1200	0.647
PAGE 9	LIXA50X1200GR600	LIXA50X1200GR600	Lixa CS922Y 50x1200	0.629
PAGE 9	LIXA50X1200GR80	LIXA50X1200GR80	Lixa CS922Y 50x1200	0.647
PAGE 9	LIXA50X1400GR120	LIXA50X1400GR120	Lixa CS922Y 50x1200	0.571
PAGE 9	LIXA50X1400GR150	LIXA50X1400GR150	Lixa CS922Y 50x1200	0.571
PAGE 9	LIXA50X1400GR220	LIXA50X1400GR220	Lixa CS922Y 50x1200	0.571
PAGE 9	LIXA50X1400GR320	LIXA50X1400GR320	Lixa CS922Y 50x1200	0.571
PAGE 9	LIXA50X1400GR400	LIXA50X1400GR400	Lixa CS922Y 50x1200	0.571
PAGE 9	LIXA50X1400GR600	LIXA50X1400GR600	Lixa CS922Y 50x1200	0.571
PAGE 9	LIXAAMARELA-CINTADELIXALS312JFG10050X1200	LIXAAMARELA CINTADELIXALS312JFG10050X1200	Lixa Amarela LS312JF 50x1200	0.754
PAGE 9	LIXAAMARELA-CINTADELIXALS312JFG10050X2000	LIXAAMARELA CINTADELIXALS312JFG10050X2000	Lixa Amarela LS312JF 50x1200	0.725
